entry|filename|title|author|year|path|count
1297|11562-8.txt|Inquiries into Human Faculty and Its Development|Francis Galton|1883|_theData|2
1298|11563-8.txt|Morning Bells|Frances Ridley Havergal|1875|_theData|2
1300|11565.txt|Friends, though divided|G A Henty|1883|_theData|1
1305|11573-8.txt|The Crater|James Fenimore Cooper|1847|_theData|2
1306|11574.txt|Master Skylark|John Bennett|1897|_theData|1
1315|11582-8.txt|Old Greek Stories|James Baldwin|1895|_theData|2
1328|11602-8.txt|The World of Ice|Robert Michael Ballantyne|1897|_theData|3
1334|11608-8.txt|From a Girl's Point of View|Lilian Bell|1897|_theData|2
1339|11615-8.txt|The Grammar of English Grammars|Goold Brown|1851|_theData|2
1342|11618-8.txt|From Chaucer to Tennyson|Henry A Beers|1890|_theData|2
1353|1163.txt|Adventure|Jack London|1885|_theData|1
1355|11632.txt|Woman: Man's Equal|Thomas Webster|1873|_theData|1
1363|11640-8.txt|Love and Mr. Lewisham|H G Wells|1899|_theData|2
1366|11643-8.txt|John Caldigate|Anthony Trollope|1879|_theData|2
1373|11654-8.txt|Confessions of a Young Man|George Moore|1889|_theData|3
1382|11665-8.txt|Collections and Recollections|George William Erskine Russell|1898|_theData|2
1384|11667.txt|Gentle Measures in the Management and Training of the Young|Jacob Abbott|1871|_theData|1
1388|11671-8.txt|The Rudder Grangers Abroad and Other Stories|Frank R Stockton|1891|_theData|2
1396|11680-8.txt|George Eliot; A Critical Study of Her Life, Writings & Philosophy|George Willis Cooke|1884|_theData|2
1402|11688.txt|History of Julius Caesar|Jacob Abbott|1877|_theData|1
1404|1169.txt|Agesilaus|Xenophon|1880|_theData|1
1416|1170.txt|Anabasis|Xenophon|1854|_theData|1
1427|11711-8.txt|When hearts are trumps|Thomas Winthrop Hall|1894|_theData|2
1432|11717-8.txt|The Palmy Days of Nance Oldfield|Edward Robins|1898|_theData|2
1436|11720-8.txt|Fenton's Quest|M E Braddon|1871|_theData|2
1438|11722.txt|First Lessons In Geography|James Monteith|1863|_theData|1
1440|11725-8.txt|A Ramble of Six Thousand Miles through the United States of America|S A Ferrall|1832|_theData|2
1448|11733-8.txt|A Mere Accident|George Moore|1891|_theData|2
1459|1175.txt|Hiero|Xenophon|1822|_theData|1
1463|11753-0.txt|Experimental Determination of the Velocity of Light|Albert A Michelson|1880|_theData|1
1464|11754.txt|Forty Years in South China|Rev John Gerardus Fagg|1894|_theData|1
1468|11759.txt|The Bicyclers and Three Other Farces|John Kendrick Bangs|1898|_theData|1
1472|11762-8.txt|The American Missionary|Various|1855|_theData|6
1537|1185.txt|History of the Conflict Between Religion and Science|John William Draper|1874|_theData|3
1547|11859.txt|Isaac T. Hopper|L Maria Child|1854|_theData|1
1553|11869-8.txt|Venetia|Benjamin Disraeli|1837|_theData|2
1558|11874-8.txt|Hodge and His Masters|Richard Jefferies|1880|_theData|2
1569|1189.txt|The Message|Honore de Balzac|1896|_theData|5
1591|11913-8.txt|Mr. Meeson's Will|H Rider Haggard|1888|_theData|2
1597|11921-8.txt|The Illustrated London Reading Book|Various|1851|_theData|2
1601|11926.txt|Washington in Domestic Life|Richard Rush|1857|_theData|1
1608|11934-8.txt|Primitive Love and Love-Stories|Henry Theophilus Finck|1899|_theData|2
1611|11937-0.txt|The Symbolism of Freemasonry|Albert G Mackey|1869|_theData|3
1619|11945-0.txt|Essays of Schopenhauer|Arthur Schopenhauer|1897|_theData|3
1624|11950-8.txt|Preliminary Report of the Commission Appointed by the University|The Seybert Commission|1879|_theData|2
1625|11951-0.txt|A Popular History of France From The Earliest Times|Francois Pierre Guillaume Guizot|1886|_theData|12
1626|11957-8.txt|The Wing-and-Wing|J Fenimore Cooper|1842|_theData|2
1629|1196-0.txt|The Purse|Honore de Balzac|1896|_theData|3
1635|11966.txt|The Village Sunday School|John C Symons|1860|_theData|1
1647|11978-8.txt|Brave Tom|Edward S Ellis|1894|_theData|2
1648|11979.txt|The Diverting History of John Gilpin|William Cowper|1828|_theData|2
1649|1198-0.txt|Robbery Under Arms|Thomas Alexander Browne AKA Rolf Boldrewood|1889|_theData|2
1661|11990-8.txt|Shakespeare's Insomnia, And the Causes Thereof|Franklin H Head|1886|_theData|2
1668|12-0.txt|Through the Looking-Glass|Charles Dodgson AKA Lewis Carroll|1897|_theData|2
1669|120-0.txt|Treasure Island|Robert Louis Stevenson|1895|_theData|3
1671|12000.txt|A Walk from London to John O'Groat's|Elihu Burritt|1864|_theData|1
1673|12002-8.txt|Review of the Work of Mr John Stuart Mill Entitled, 'Examination of Sir William Hamilton's Philosophy.'|George Grote|1868|_theData|2
1674|12004-8.txt|Essays on some unsettled Questions of Political Economy|John Stuart Mill|1844|_theData|2
1680|12016-8.txt|The Merchant of Berlin|L Mühlbach|1868|_theData|2
1686|12021-8.txt|Adopting An Abandoned Farm|Kate Sanborn|1892|_theData|2
1689|12024-8.txt|Bred in the Bone|James Payn|1871|_theData|5
1695|1203-0.txt|Dolly Dialogues|Anthony Hope|1895|_theData|2
1700|12035.txt|Progressive Morality|Thomas Fowler|1884|_theData|1
1714|12047-8.txt|Legends of the Madonna|Mrs Jameson|1864|_theData|2
1716|12049-8.txt|Legal Status Of Women In Iowa|Jennie Lansley Wilson|1894|_theData|2
1717|1205.txt|The Colour of Life|Alice Meynell|1896|_theData|1
1718|12051-8.txt|Dick Sand|Jules Verne|1878|_theData|2
1719|12052.txt|Half a Century|Jane Grey Cannon Swisshelm|1880|_theData|1
1722|12056-8.txt|Phases of Faith|Francis William Newman|1850|_theData|2
1731|12064-8.txt|Notes of an Overland Journey Through France and Egypt to Bombay|Miss Emma Roberts|1841|_theData|2
1736|1207-0.txt|Nada the Lily|H Rider Haggard|1892|_theData|4
1738|12073-8.txt|Letters of Horace Walpole|Horace Walpole|1833|_theData|4
1744|12081-8.txt|Lives of Girls Who Became Famous|Sarah Knowles Bolton|1886|_theData|2
1745|12083-8.txt|Eric|Frederic William Farrar|1859|_theData|4
1747|12085-8.txt|Annie Besant|Annie Besant|1880|_theData|2
1752|1209.txt|History of the Conquest of Peru|William Hickling Prescott|1855|_theData|1
1758|12095.txt|More Bywords|Charlotte M Yonge|1890|_theData|1
1763|121-0.txt|Northanger Abbey|Jane Austen|1892|_theData|4
1769|12104-8.txt|Ethelyn's Mistake|Mary Jane Holmes|1869|_theData|2
1798|12136-8.txt|Government and Administration of the United States|Westel W Willoughby and William F Willoughby|1891|_theData|2
1800|12137.txt|La Legende des Siecles|Victor Hugo|1879|_theData|1
1801|12138-8.txt|The History Of University Education In Maryland|Bernard Christian Steiner|1891|_theData|2
1822|1216.txt|Decline of Science in England|Charles Babbage|1830|_theData|1
1826|12162-8.txt|The Communes Of Lombardy From The VI. To The X. Century|William Klapp Williams|1891|_theData|2
1831|1217-0.txt|Penelope's Experiences in Scotland|Kate Douglas Wiggin|1898|_theData|2
1834|12172.txt|Alone In London|Hesba Stretton|1869|_theData|1
1835|12173.txt|The Two Lovers of Heaven: Chrysanthus and Daria|Pedro Calderon de la Barca|1870|_theData|1
1842|12181-8.txt|The Story of Bessie Costrell.|Mrs Humphry Ward|1895|_theData|2
1843|12183-8.txt|Wau-bun|Juliette Augusta Magill Kinzie|1856|_theData|3
1846|12186-0.txt|The Principles of Masonic Law|Albert G Mackey|1856|_theData|3
1852|12191-8.txt|Red Axe|Samuel Rutherford Crockett|1898|_theData|2
1862|1220.20040516.txt|The Atheist's Mass|Honore de Balzac|1896|_theData|3
1863|12200-0.txt|Delsarte System of Oratory|Various|1887|_theData|3
1892|12228.txt|Home Geography For Primary Grades|C C Long|1894|_theData|1
1894|1223-0.txt|Ursula|Honore de Balzac|1899|_theData|3
1898|12234-8.txt|Mr. Scarborough's Family|Anthony Trollope|1883|_theData|2
1902|12238-8.txt|Science in the Kitchen.|Mrs E E Kellogg|1892|_theData|2
1910|12248-8.txt|The King's Cup-Bearer|Amy Catherine Walton|1892|_theData|2
1911|12249.txt|Bart Ridgeley|A G Riddle|1873|_theData|1
1915|12254-8.txt|Illustrated History of Furniture|Frederick Litchfield|1899|_theData|2
1917|12256-8.txt|Mistress Penwick|Dutton Payne|1899|_theData|2
1919|12259-8.txt|Memoirs of a Cavalier|Daniel Defoe|1809|_theData|2
1920|12260.txt|Jonas on a Farm in Winter|Jacob Abbott|1841|_theData|1
1932|1228.txt|On the Origin of Species|Charles Darwin|1861|_theData|3
1933|12280-8.txt|The Grandissimes|George Washington Cable|1884|_theData|2
1938|12286-8.txt|Flowers and Flower-Gardens|David Lester Richardson|1855|_theData|2
1944|12293-8.txt|Old Cookery Books and Ancient Cuisine|William Carew Hazlitt|1886|_theData|2
1951|1230.txt|Pierre Grassou|Honore de Balzac|1896|_theData|2
1959|12308-8.txt|Winning His Spurs|George Alfred Henty|1891|_theData|2
1960|12309-8.txt|Love affairs of the Courts of Europe|Thornton Hall|1800|_theData|2
1965|12313-8.txt|Pictures of Sweden|Hans Christian Andersen|1852|_theData|2
1972|1232.txt|The Prince|Nicolo Machiavelli|1847|_theData|2
1974|12321.txt|Rudimental Divine Science|Mary Baker Eddy|1891|_theData|2
1975|12322-8.txt|Poetical Works of Edmund Waller and Sir John Denham|Edmund Waller John Denham|1857|_theData|2
1981|12328-8.txt|Tent Life in Siberia|George Kennan|1870|_theData|2
1982|12329-8.txt|Heart of Man|George Edward Woodberry|1899|_theData|2
1995|12346-8.txt|A Roman Singer|F Marion Crawford|1884|_theData|2
1996|12347-8.txt|The Morgesons|Elizabeth Stoddard|1862|_theData|2
1997|12348-8.txt|Richard Vandermarck|Miriam Coles Harris|1871|_theData|2
1999|1235-0.txt|Captain Fracasse|Theophile Gautier|1897|_theData|2
2002|12352-8.txt|Iola Leroy|Frances EW Harper|1892|_theData|2
2003|12353-8.txt|The Making of Religion|Andrew Lang|1898|_theData|2
2004|12354-0.txt|Pink and White Tyranny|Harriet Beecher Stowe|1874|_theData|3
2014|12364.txt|The United States in the Light of Prophecy|Uriah Smith|1872|_theData|1
2017|1237-0.txt|Father Goriot|Honore de Balzac|1899|_theData|3
2025|12377.txt|The Court of Boyville|William Allen White|1899|_theData|1
2027|1238.txt|The City of Dreadful Night|James Thomson|1880|_theData|2
2031|12384-8.txt|Battle-Pieces and Aspects of the War|Herman Melville|1866|_theData|2
2034|12387-8.txt|Paul Faber, Surgeon|George MacDonald|1879|_theData|2
2048|12400-8.txt|Bismarck and the Foundation of the German Empire|James Wycliffe Headlam|1899|_theData|2
2052|12405.txt|Frank, the Young Naturalist|Harry Castlemon|1867|_theData|1
2057|12411-8.txt|The Long White Cloud|William Pember Reeves|1898|_theData|2
2069|12422-8.txt|Journal of a Residence on a Georgian Plantation|Frances Anne Kemble|1863|_theData|2
2073|12426-8.txt|Routledge's Manual of Etiquette|George Routledge|1875|_theData|2
2079|12431-8.txt|The Coquette|Hannah Webster Foster|1856|_theData|2
2084|12439-8.txt|Notes on Nursing|Florence Nightingale|1861|_theData|4
2088|12442-8.txt|In the Days of My Youth|Amelia Ann Blandford Edwards|1873|_theData|2
2091|12445-8.txt|The Water-Witch or, The Skimmer of the Seas|James Fenimore Cooper|1860|_theData|2
2092|12449.txt|A Reputed Changeling|Charlotte M Yonge|1889|_theData|1
2096|12453-8.txt|Miriam Monfort|Catherine A Warfield|1873|_theData|2
2098|12455-8.txt|Legends of the Middle Ages|HA Guerber|1896|_theData|2
2113|12470-8.txt|A Perilous Secret|Charles Reade|1880|_theData|2
2120|1248.txt|Last of the Great Scouts|Helen Cody Wetmore|1899|_theData|1
2124|12483-8.txt|Reminiscences of Scottish Life and Character|Edward Bannerman Ramsay|1858|_theData|2
2126|12485.txt|The Three Brides|Charlotte M Yonge|1876|_theData|1
2127|12486-8.txt|Indian Nullification of the Unconstitutional Laws of Massachusetts|William Apes|1835|_theData|2
2138|12506-8.txt|Critiques and Addresses|Thomas Henry Huxley|1873|_theData|2
2151|12519.txt|The Virginia Housewife|Mary Randolph|1838|_theData|1
2170|12539-8.txt|Observations Upon The Windward Coast Of Africa|Joseph Corry|1807|_theData|2
2171|1254.txt|Cyrano de Bergerac|Edmond Rostand|1898|_theData|3
