entry|filename|title|author|year|path|count
230|10338-8.txt|With the Turks in Palestine|Alexander Aaronsohn|1917|_theData|2
232|10340.txt|Dab Kinzer|William O Stoddard|1906|_theData|1
234|10342-8.txt|The Velvet Glove|Henry Seton Merriman|1902|_theData|3
239|1035.txt|The Man Against the Sky|Edwin Arlington Robinson|1916|_theData|1
246|10358-8.txt|The Boss of Little Arcady|Harry Leon Wilson|1905|_theData|2
248|1036-0.txt|Joe Wilson and His Mates|Henry Lawson|1970|_theData|2
250|10361-8.txt|The Creative Process in the Individual|Thomas Troward|1916|_theData|2
251|10362-8.txt|Sketches of the East Africa Campaign|Robert Valentine Dolbey|1918|_theData|2
256|10368.txt|The Vizier of the Two-Horned Alexander|Frank R Stockton|1900|_theData|1
260|10371-8.txt|The Cinema Murder|E Phillips Oppenheim|1917|_theData|2
261|10372-8.txt|Bunch Grass|Horace Annesley Vachell|1912|_theData|2
262|10373-8.txt|The Middle Temple Murder|JS Fletcher|1919|_theData|2
263|10374-8.txt|The Ramblin' Kid|Earl Wayland Bowman|1967|_theData|4
265|10376-8.txt|American Indian stories|ZitkalaSa|1921|_theData|2
279|10390-8.txt|The Edinburgh Lectures on Mental Science|Thomas Troward|1909|_theData|2
281|10392-8.txt|The Reminiscences Of Sir Henry Hawkins (Baron Brampton)|Henry Hawkins Brampton|1904|_theData|2
282|10393.txt|Making the House a Home|Edgar A Guest|1922|_theData|1
283|10394-8.txt|Stolen Treasure|Howard Pyle|1925|_theData|2
285|10396.txt|Andy the Acrobat|Peter T Harkness|1907|_theData|1
287|10398-8.txt|The American Child|Elizabeth McCracken|1913|_theData|2
290|1040.txt|The Three Taverns|Edwin Arlington Robinson|1920|_theData|1
294|10404-8.txt|Man Size|William MacLeod Raine|1922|_theData|2
295|10409-8.txt|The Crisis of the Naval War|John Rushworth Jellicoe|1921|_theData|2
297|10410-8.txt|The Powers and Maxine|Charles Norris Williamson|1907|_theData|2
298|10417-8.txt|Love, Life & Work|Elbert Hubbard|1906|_theData|2
299|10418-8.txt|The Money Moon|Jeffery Farnol|1911|_theData|2
306|10429-8.txt|Miss Lulu Bett|Zona Gale|1920|_theData|2
307|1043.txt|The Story of Evolution|Joseph McCabe|1912|_theData|1
316|10438-8.txt|Up the Hill and Over|Isabel Ecclestone Mackay|1917|_theData|2
317|10439-8.txt|From Yauco to Las Marias|Karl Stephen Herrman|1900|_theData|2
318|1044-0.txt|Extract from Captain Stormfield's Visit to Heaven|Mark Twain|1909|_theData|1
320|10441-8.txt|The Green Mouse|Robert W Chambers|1910|_theData|2
321|10443-8.txt|The Rayner-Slade Amalgamation|J S Fletcher|1917|_theData|2
322|10444-8.txt|The Peace Negotiations|Robert Lansing|1921|_theData|4
324|10446.txt|The Green Flag|Arthur Conan Doyle|1900|_theData|1
325|10447-8.txt|October Vagabonds|Richard Le Gallienne|1910|_theData|2
328|1045-0.txt|Venus and Adonis|William Shakespeare|1905|_theData|2
331|10452-8.txt|Peter's Mother|Mrs Henry De La Pasture|1912|_theData|2
333|10454-8.txt|Tales for Young and Old|Various|1995|_theData|2
339|1046-0.txt|God The Invisible King|Herbert George Wells|1916|_theData|2
340|10460.txt|When Day is Done|Edgar A Guest|1921|_theData|1
350|1047-0.txt|The New Machiavelli|Herbert George Wells|1910|_theData|2
354|10473-8.txt|The Heart of the Range|William Patterson White|1921|_theData|2
355|10474-8.txt|The Lost Naval Papers|Bennet Copplestone|1917|_theData|2
365|10485.txt|Experiments in Government and the Essentials of the Constitution|Elihu Root|1913|_theData|1
368|10489-8.txt|An English Garner|Edited by Professor Arber and Thomas Seccombe|1903|_theData|2
369|1049.txt|Vanished Arizona|Martha Summerhayes|1911|_theData|1
372|10493-0.txt|The Old Bush Songs|A B Paterson|1906|_theData|1
373|10494-8.txt|Henry the Second|Mrs J R Green|1915|_theData|2
375|10496-8.txt|Red Masquerade|Louis Joseph Vance|1921|_theData|2
382|10509-8.txt|The Bars of Iron|Ethel May Dell|1900|_theData|2
385|10511-8.txt|A Rogue by Compulsion|Victor Bridges|1915|_theData|2
393|10521-8.txt|The Primadonna|F Marion Crawford|1908|_theData|2
400|1053-0.txt|Within the Tides|Joseph Conrad|1921|_theData|3
405|10534-8.txt|The Double Traitor|E Phillips Oppenheim|1915|_theData|2
411|10540.txt|Mother Carey's Chickens|Kate Douglas Wiggin|1930|_theData|1
412|10541-8.txt|Children's Classics In Dramatic Form|Augusta Stevenson|1912|_theData|4
414|10543-8.txt|Norwegian Life|Ethlyn T Clough|1909|_theData|2
418|10548-8.txt|The Westcotes|Arthur Thomas QuillerCouch|1902|_theData|2
420|1055-0.txt|'Twixt Land & Sea|Joseph Conrad|1912|_theData|2
423|10552-0.txt|Roy Blakeley|Percy Keese Fitzhugh|1922|_theData|2
425|10554-8.txt|Right Ho, Jeeves|P G Wodehouse|1935|_theData|2
427|10556-8.txt|The Old Man in the Corner|Baroness Orczy|1908|_theData|2
428|10557.txt|Johnny Crow's Party|L Leslie Brooke|1962|_theData|1
429|1056.txt|Martin Eden|Jack London|1915|_theData|1
446|10576.txt|The Aeroplane Boys Flight|John Luther Langworthy|1914|_theData|1
450|1058-0.txt|The Mirror of the Sea|Joseph Conrad|1925|_theData|2
451|10580-8.txt|The Positive School of Criminology|Enrico Ferri|1906|_theData|2
452|10581.txt|Uncle Bernac|Arthur Conan Doyle|1902|_theData|1
456|10585-8.txt|My Strangest Case|Guy Boothby|1907|_theData|2
457|10586-8.txt|Mike and Psmith|P G Wodehouse|1953|_theData|2
460|10589-8.txt|Turkish Prisoners in Egypt|Various|1917|_theData|2
461|1059-0.txt|The World Set Free|Herbert George Wells|1914|_theData|2
464|10592-8.txt|Adventures In Friendship|David Grayson|1910|_theData|2
472|106.txt|Jungle Tales of Tarzan|Edgar Rice Burroughs|1919|_theData|1
478|10605-8.txt|Adventures In Contentment|David Grayson|1907|_theData|2
495|10620-8.txt|The Works of Francis Beaumont and John Fletcher in Ten Volumes|Beaumont and Fletcher|1905|_theData|2
496|10621-8.txt|Birthright|TS Stribling|1922|_theData|3
503|10629-8.txt|Britain at Bay|Spenser Wilkinson|1909|_theData|2
504|1063.txt|The Cask of Amontillado|Edgar Allan Poe|1902|_theData|1
514|1064-8.txt|The Masque of the Red Death|Edgar Allan Poe|1982|_theData|2
534|10658-8.txt|Hilda Lessways|Arnold Bennett|1911|_theData|2
542|10666-8.txt|The Public vs. M. Gustave Flaubert|Various|1904|_theData|2
543|10667-8.txt|Snake and Sword|Percival Christopher Wren|1914|_theData|2
544|10668-8.txt|The War and Democracy||1915|_theData|2
551|10674-8.txt|How to Use Your Mind|Harry D Kitson|1916|_theData|2
552|10675-8.txt|Pebbles on the Shore|Alpha of the Plough Alfred George Gardiner|1920|_theData|2
553|10676-8.txt|The Reign of Greed|Jose Rizal|1912|_theData|2
559|10684-8.txt|A History of Freedom of Thought|John Bagnell Bury|1913|_theData|2
568|10696.txt|The Danger Trail|James Oliver Curwood|1910|_theData|1
579|10707-8.txt|A Christmas Mystery|William J Locke|1910|_theData|2
581|10709-8.txt|Prince Zaleski|MP Shiel|1977|_theData|2
589|10717-8.txt|The Extant Odes of Pindar|Pindar|1904|_theData|2
590|10718-8.txt|The House of Whispers|William Le Queux|1909|_theData|2
594|10724.txt|The Store Boy|Horatio Alger Jr|1967|_theData|1
599|10729.txt|Jack's Ward|Horatio Alger Jr|1929|_theData|1
605|10736-8.txt|Children of the Frost|Jack London|1902|_theData|2
608|10739-8.txt|The Essays Of Arthur Schopenhauer|Arthur Schopenhauer|1927|_theData|2
609|1074-0.txt|The Sea-Wolf|Jack London|1904|_theData|2
613|10743-8.txt|Moonfleet|J Meade Falkner|1994|_theData|2
615|10745.txt|The Story of the Champions of the Round Table|Howard Pyle|1905|_theData|1
616|10747.txt|Chantecler|Edmond Rostand|1910|_theData|1
619|1075-0.txt|The Strength of the Strong|Jack London|1914|_theData|2
624|10755-8.txt|The Broken Road|A E W Mason|1907|_theData|2
631|10761-8.txt|Essays of Robert Louis Stevenson|Robert Louis Stevenson|1950|_theData|2
637|10769-8.txt|A Wanderer in Florence|E V Lucas|1912|_theData|2
638|1077-0.txt|The Mirror of Kong Ho|Ernest Bramah|1905|_theData|2
640|10771-8.txt|Philippine Folklore Stories|John Maurice Miller|1904|_theData|2
641|10772-8.txt|Inca Land|Hiram Bingham|1922|_theData|3
647|1078-0.txt|The Scouts of the Valley|Joseph A Altsheler|1911|_theData|2
667|10798-8.txt|Paths of Glory|Irvin S Cobb|1918|_theData|2
669|108-0.txt|The Return of Sherlock Holmes|Arthur Conan Doyle|1904|_theData|4
680|1081-0.txt|Dead Souls|Nikolai Vasilievich Gogol|1971|_theData|2
684|10813-8.txt|A Versailles Christmas-Tide|Mary Stuart Boyd|1901|_theData|2
693|1083-0.txt|The Arrow of Gold|Joseph Conrad|1925|_theData|3
702|10839.txt|Sugar and Spice|James Johnson|1998|_theData|1
704|10842-8.txt|The Life of Captain James Cook|Arthur Kitson|1911|_theData|2
705|10843-8.txt|The Mental Life of Monkeys and Apes|Robert M Yerkes|1916|_theData|2
717|10855-8.txt|Is Mars Habitable?|Alfred Russel Wallace|1907|_theData|2
722|1086-0.txt|A Horse's Tale|Mark Twain|1907|_theData|2
725|10862-8.txt|The White Waterfall|James Francis Dwyer|1912|_theData|2
727|10865-8.txt|Play-Making|William Archer|1912|_theData|2
730|10868-8.txt|Clerambault|Rolland Romain|1921|_theData|2
731|10869.txt|The Abandoned Room|Wadsworth Camp|1917|_theData|1
733|10870-8.txt|Are You A Bromide?|Gelett Burgess|1907|_theData|2
740|10877-8.txt|The Tragedies of the Medici|Edgcumbe Staley|1909|_theData|2
743|1088-0.txt|Rolf In The Woods|Ernest Thompson Seton|1911|_theData|2
745|10881-8.txt|Crescent and Iron Cross|E F Benson|1918|_theData|2
746|10882-8.txt|The Eagle's Shadow|James Branch Cabell|1923|_theData|2
750|10886-8.txt|The Untamed|Max Brand|1919|_theData|2
751|10887-8.txt|Babylonian and Assyrian Literature|Anonymous|1901|_theData|2
753|10889-8.txt|The Life and Romances of Mrs. Eliza Haywood|George Frisbie Whicher|1915|_theData|2
754|1089-0.txt|Moon-Face and Other Stories|Jack London|1906|_theData|3
756|10891.txt|Algonquin Indian Tales|Egerton R Young|1903|_theData|1
770|10908-8.txt|Manual for Noncommissioned Officers and Privates of Infantry|War Department|1917|_theData|2
779|1092-0.txt|The Description of Wales|Geraldus Cambrensis|1912|_theData|1
787|10928-8.txt|Bengal Dacoits and Tigers|Maharanee Sunity Devee|1916|_theData|2
789|1093.txt|The Beast in the Jungle|Henry James|1907|_theData|1
796|10936-8.txt|The Girl Aviators' Motor Butterfly|Margaret Burnham|1930|_theData|2
802|10942-8.txt|The Claim Jumpers|Stewart Edward White|1901|_theData|2
803|10943-8.txt|Elusive Isabel|Jacques Futrelle|1909|_theData|2
806|10946-8.txt|Three Frenchmen in Bengal|SC Hill|1903|_theData|2
808|10948-8.txt|The Stories of the Three Burglars|Frank Richard Stockton|1900|_theData|2
810|1095-0.txt|The Light of Western Stars|Zane Grey|1942|_theData|1
818|10959-8.txt|The Visits of Elizabeth|Elinor Glyn|1901|_theData|2
819|10960-8.txt|Vergil|Tenney Frank|1922|_theData|2
820|10961-8.txt|Lawn Tennis for Ladies|Mrs Lambert Chambers|1910|_theData|2
824|10965.txt|The World Turned Upside Down|Anonymous|1991|_theData|2
826|10967.txt|Four Weeks in the Trenches|Fritz Kreisler|1915|_theData|1
827|10968-8.txt|A Century of Negro Migration|Carter G Woodson|1918|_theData|2
830|1097.txt|Mrs. Warren's Profession|George Bernard Shaw|1901|_theData|1
832|10972-8.txt|With the "Die-Hards" in Siberia|John Ward|1920|_theData|2
837|10977-8.txt|The Grizzly King|James Oliver Curwood|1918|_theData|2
838|10978-8.txt|Hidden Creek|Katharine Newlin Burt|1920|_theData|2
840|1098-0.txt|The Turmoil|Booth Tarkington|1915|_theData|2
841|10980-8.txt|Lady John Russell||1910|_theData|2
844|10984-8.txt|Growth of the Soil|Knut Hamsun|1921|_theData|2
848|10988-8.txt|The Devil's Admiral|Frederick Ferdinand Moore|1913|_theData|2
850|1099-0.txt|The Riverman|Stewart Edward White|1922|_theData|2
852|10991.txt|Dogs and All About Them|Robert Leighton|1910|_theData|1
866|11000-8.txt|An Old Babylonian Version of the Gilgamesh Epic|Anonymous|1920|_theData|1
873|11008-8.txt|Antwerp to Gallipoli|Arthur Ruhl|1916|_theData|2
876|11011.txt|A Hilltop on the Marne|Mildred Aldrich|1915|_theData|1
879|11014-8.txt|Christmas in Legend and Story|Elva S Smith|1915|_theData|2
881|11016-8.txt|The Port of Adventure|Charles Norris Williamson and Alice Muriel Williamson|1913|_theData|2
882|11017-8.txt|Samuel F. B. Morse, His Letters and Journals|Samuel F B Morse|1914|_theData|4
883|11019-8.txt|Van Bibber and Others|Richard Harding Davis|1916|_theData|2
884|11020-8.txt|Angels & Ministers|Laurence Housman|1922|_theData|2
885|11022.txt|Sowing and Reaping|Frances Ellen Watkins Harper|1994|_theData|2
901|11045-8.txt|The Ghost Ship|Richard Middleton|1913|_theData|4
903|11051-8.txt|The Cruise of the Dazzler|Jack London|1902|_theData|2
904|11052-8.txt|The Custom of the Country|Edith Wharton|1913|_theData|2
907|11055-8.txt|Lord Dolphin|Harriet A Cheever|1903|_theData|2
912|11060-8.txt|The Aspirations of Jean Servien|Anatole France|1924|_theData|2
934|11086.txt|A Surgeon in Belgium|Henry Sessions Souttar|1915|_theData|1
938|11090.txt|Industrial Progress and Human Economics|James Hartness|1921|_theData|1
940|11093-8.txt|Trailin'!|Max Brand|1920|_theData|2
942|11095.txt|Fun and Nonsense|Willard Bonte|1904|_theData|1
947|111-0.txt|Freckles|Gene StrattonPorter|1916|_theData|2
948|11100-0.txt|History Of Modern Philosophy|Richard Falckenberg|1977|_theData|5
952|11104-8.txt|In Morocco|Edith Wharton|1920|_theData|4
954|11106-8.txt|The Girl at Cobhurst|Frank Richard Stockton|1900|_theData|2
957|11110.txt|A Countess from Canada|Bessie Marchant|1911|_theData|1
962|11115-8.txt|Frank Merriwell at Yale|Burt L Standish|1903|_theData|2
971|11123-8.txt|The German Classics of The Nineteenth and Twentieth Centuries,|EditorinChief Kuno Francke|1914|_theData|7
973|11126.txt|Ten Girls from Dickens|Kate Dickinson Sweetser|1905|_theData|1
974|11127-8.txt|The Case of Jennie Brice|Mary Roberts Rinehart|1915|_theData|2
975|11128-8.txt|The Red Thumb Mark|R Austin Freeman|1970|_theData|2
980|11135.txt|Monarch, The Big Bear of Tallac|Ernest Thompson Seton|1904|_theData|1
983|11138-8.txt|Comic History of England|Bill Nye|1906|_theData|2
987|11143.txt|Mary Marie|Eleanor H Porter|1920|_theData|1
989|11145-8.txt|The Discovery of Yellowstone Park|Nathaniel Pitt Langford|1972|_theData|2
990|11146-8.txt|The Expedition of the Donner Party and its Tragic Fate|Eliza Poor Donner Houghton|1911|_theData|2
993|11149.txt|Little Folded Hands|Anonymous|1959|_theData|1
1004|11161-8.txt|Mary Wollaston|Henry Kitchell Webster|1920|_theData|2
1006|11163-8.txt|Potterism|Rose Macaulay|1920|_theData|2
1022|11181.txt|Captains All|WW Jacobs|1905|_theData|1
1023|11182.txt|The Boatswain's Mate|WW Jacobs|1907|_theData|1
1034|11192-8.txt|The Americanism of Washington|Henry Van Dyke|1906|_theData|2
1040|11198-8.txt|Christianity and Islam|CH Becker|1909|_theData|2
1047|11211.txt|A Minstrel In France|Harry Lauder|1918|_theData|1
1053|11217.txt|The Visioning|Susan  Glaspell|1911|_theData|1
1055|11221-8.txt|The Bent Twig|Dorothy Canfield|1915|_theData|2
1061|11228-8.txt|The Marrow of Tradition|Charles W Chesnutt|1901|_theData|2
1068|11238-8.txt|The Fight For Conservation|Gifford Pinchot|1910|_theData|2
1075|11247-8.txt|The Exploits Of Brigadier Gerard|Arthur Conan Doyle|1912|_theData|2
1076|11248-8.txt|The Delights of Wisdom Pertaining to Conjugial Love|Emanuel Swedenborg|1912|_theData|2
1079|11251-8.txt|Famous Reviews|Editor R Brimley Johnson|1914|_theData|2
1084|11256-8.txt|Social life at Rome in the Age of Cicero|W Warde Fowler|1908|_theData|2
1087|11260-8.txt|The Kiltartan History Book|Lady I A Gregory|1909|_theData|2
1093|11269.txt|Virgie's Inheritance|Mrs Georgie Sheldon|1932|_theData|1
1101|11277-8.txt|Egyptian Ideas of the Future Life|E A Wallis Budge|1900|_theData|2
1103|11279-8.txt|The Slim Princess|George Ade|1907|_theData|2
1107|11289-8.txt|What is Coming?|H G Wells|1916|_theData|2
1111|113-0.txt|The Secret Garden|Frances Hodgson Burnett|1911|_theData|4
1113|11304-8.txt|The Lake|George Moore|1922|_theData|2
1115|11309-8.txt|The Booming of Acre Hill|John Kendrick Bangs|1900|_theData|2
1117|11311-8.txt|The Masters of the Peaks|Joseph A Altsheler|1918|_theData|2
1123|11324-8.txt|This Is the End|Stella Benson|1925|_theData|2
1127|11328-8.txt|The Hunted Woman|James Oliver Curwood|1916|_theData|2
1131|11335.txt|The Einstein Theory of Relativity|HA Lorentz|1920|_theData|1
1135|11345.txt|Education as Service|J Krishnamurti|1912|_theData|1
1138|11351.txt|Cape Cod Ballads, and Other Verse|Joseph C Lincoln|1923|_theData|2
1139|11352-8.txt|Germany and the Next War|Friedrich von Bernhardi|1914|_theData|2
1141|11354-8.txt|The Irrational Knot|George Bernard Shaw|1905|_theData|2
1146|11360-8.txt|Sacred And Profane Love|E Arnold Bennett|1905|_theData|2
1151|11367-8.txt|A History of China|Wolfram Eberhard|1977|_theData|2
1152|11368-8.txt|Stories of Inventors|Russell Doubleday|1905|_theData|2
1154|11372-8.txt|The Nine-Tenths|James Oppenheim|1911|_theData|2
1155|11373-8.txt|Through the Wall|Cleveland Moffett|1911|_theData|2
1156|11374.txt|Fun And Frolic|Various|1901|_theData|1
1159|11379.txt|Round Anvil Rock|Nancy Huston Banks|1903|_theData|1
1160|1138-0.txt|The Research Magnificent|H G Wells|1915|_theData|3
1164|1139.txt|Fisherman's Luck|Henry van Dyke|1901|_theData|1
1167|11394-8.txt|Fighting in Flanders|E Alexander Powell|1914|_theData|2
1168|11395-8.txt|Cheerful--By Request|Edna Ferber|1924|_theData|2
1184|11417-8.txt|French Mediaeval Romances from the Lays of Marie de France|Marie de France|1911|_theData|2
1187|1142-0.txt|Typhoon|Joseph Conrad|1902|_theData|3
1189|11424-8.txt|The Trade Union Woman|Alice Henry|1915|_theData|2
1191|11426.txt|The Call of the North|Stewart Edward White|1902|_theData|1
1195|1143.txt|Notes on Life and Letters|Joseph Conrad|1924|_theData|1
1204|11440-8.txt|Tales of Three Hemispheres|Lord Dunsany|1919|_theData|2
1216|11461-8.txt|Armenian Literature|Anonymous|1982|_theData|2
1241|11490-8.txt|American Negro Slavery|Ulrich Bonnell Phillips|1918|_theData|2
1243|11493-8.txt|The Blotting Book|E F Benson|1976|_theData|2
1249|11501-8.txt|Laughing Bill Hyde and Other Stories|Rex Beach|1917|_theData|2
1250|11502-8.txt|An Englishman Looks at the World|H G Wells|1914|_theData|1
1251|11503.txt|Keeping up with Lizzie|Irving Bacheller|1911|_theData|1
1252|11504.txt|Further Foolishness|Stephen Leacock|1916|_theData|1
1253|11505-8.txt|All Things Considered|G K Chesterton|1913|_theData|2
1255|11507-8.txt|The Lure of San Francisco|Elizabeth Gray Potter and Mabel Thayer Gray|1915|_theData|2
1256|11508.txt|Reminiscences of a Pioneer|Colonel William Thompson|1912|_theData|1
1263|11517.txt|Out of Doors--California and Oregon|J A Graves|1912|_theData|1
1265|11520-8.txt|The Obstacle Race|Ethel M Dell|1921|_theData|2
1273|1153.txt|The Chessmen of Mars|Edgar Rice Burroughs|1922|_theData|2
1275|11532.txt|A Kentucky Cardinal|James Lane Allen|1900|_theData|1
1277|11534-8.txt|The Lions of the Lord|Harry Leon Wilson|1905|_theData|2
1289|11554-8.txt|The Crimes of England|GK Chesterton|1916|_theData|2
1294|1156-0.txt|Babbitt|Sinclair Lewis|1922|_theData|2
1295|11560.txt|The Barbarism of Berlin|G K Chesterton|1914|_theData|1
1312|1158-0.txt|Penrod and Sam|Booth Tarkington|1922|_theData|2
1314|11581-8.txt|From Out the Vasty Deep|Mrs Belloc Lowndes|1921|_theData|2
1320|1159-0.txt|Fire-Tongue|Sax Rohmer|1922|_theData|2
1322|11593.txt|The Purchase Price|Emerson Hough|1910|_theData|1
1331|11605-8.txt|The Appetite of Tyranny|GK Chesterton|1915|_theData|2
1333|11607-8.txt|Dio's Rome|Cassius Dio|1905|_theData|2
1336|1161.txt|Jerry of the Islands|Jack London|1917|_theData|1
1351|11628-8.txt|Gossip in a Library|Edmund Gosse|1914|_theData|2
1357|11634-8.txt|Human Nature In Politics|Graham Wallas|1919|_theData|2
1361|11639-8.txt|Figures of Earth|James Branch Cabell|1921|_theData|2
1362|1164-0.txt|The Iron Heel|Jack London|1907|_theData|2
1364|11641.txt|Over There|Arnold Bennett|1915|_theData|1
1374|11655-8.txt|Fate Knocks at the Door|Will Levington Comfort|1912|_theData|2
1378|11660-8.txt|Ethel Morton's Enterprise|Mabell SC Smith|1915|_theData|2
1381|11664-8.txt|The Camp Fire Girls Do Their Bit|Hildegard G Frey|1919|_theData|2
1383|11666.txt|The Conjure Woman|Charles W Chesnutt|1993|_theData|1
1389|11672-8.txt|A Short History of Women's Rights|Eugene A Hecker|1909|_theData|2
1390|11673.txt|Stickeen|John Muir|1909|_theData|1
1392|11675-8.txt|Vanishing Roads and Other Essays|Richard Le Gallienne|1915|_theData|2
1395|1168-0.txt|The Pool in the Desert|Sara Jeanette Duncan|1903|_theData|2
1398|11682-8.txt|The Soul of the War|Philip Gibbs|1915|_theData|2
1403|11689-8.txt|Are Women People?|Alice Duer Miller|1915|_theData|2
1405|11690-8.txt|Calvert of Strathore|Carter Goodloe|1903|_theData|2
